,Name,Description,Designation,Latitude,Longitude,States,Type,Free,Cost
,FrederickState Beachurg & State Parkotsylvania National Military Park,"This park preserves three Civil War battlefield units in central Virginia: FrederickState Beachurg, State Parkotsylvania Court House, and the Wilderness. Besides the preserved earthworks and monuments, there are auto tours and hiking trails that thread through ridge lines, fields, and woodlands shaped by the campaigns. Notable features include Marye's Heights, the Bloody Angle, and the Mule Shoe salient; wildlife includes white-tailed deer, red fox, and gray squirrels.",National Military Park,38.29378,-77.46734,VA,National,TRUE,0
,Freedom Riders National Monument,"This region honoring the Freedom Riders National Monument consists of multiple units along Alabama’s historic civil rights routes. Besides the preserved Greyhound Bus Station in Anniston, there are interpretive centers and guided tours that recount the riders’ journey and the courage of those who challenged segregation. The history highlights nonviolence, civil rights, and social justice that reshaped the nation.",National Monument,33.6352692,-85.906433,AL,National,TRUE,0
,Friendship Hill National Historic Site,"This region that shaped early American leadership centers on the hillside estate of Albert Gallatin along the Monongahela River. Friendship Hill National Historic Site preserves Gallatin’s 18th-century home, outbuildings, and a formal garden set amid rolling farmland and woodlands with scenic river views. Visitors can explore restored interiors, walk scenic trails, and encounter wildlife such as white-tailed deer, wild turkeys, and a variety of birds.",National Historic Site,39.7754342,-79.925042,PA,National,TRUE,0
,Gates Of The Arctic National Park & Preserve,"Located entirely north of the Arctic Circle in Alaska, Gates of the Arctic National Park and Preserve protects a vast, roadless wilderness centered on the Brooks Range. With no established trails, visitor facilities, or roads, the park offers a True backcountry experience defined by rugged mountains, wide river valleys, tundra, and boreal forest. Activities include backpacking, packrafting, mountaineering, and wilderness travel requiring advanced navigation skills. The park preserves intact Arctic ecosystems and supports wildlife such as caribou, grizzly and black bears, wolves, Dall sheep, moose, and migratory birds, representing one of the most remote and undeveloped national parks in the United States.",National Preserve,67.7596164,-153.29178,AK,National,TRUE,0
,Gateway Arch National Park,"Gateway Arch National Park sits along the Mississippi River in downtown St. Louis and centers on the Gateway Arch, a 630-foot stainless-steel monument that commemorates the nation’s westward expansion. The park preserves the Arch, the Museum of Westward Expansion, and the historic Old Courthouse, where the Dred Scott case helped shape Civil War-era law; visitors ride a tram to the Arch’s observation deck for sweeping views of the river and skyline, while exhibits explore the Lewis and Clark expedition, the Oregon Trail, and frontier life. Surrounding riverfront greenState Parkace, trails, and interpretive diState Parklays bring to life the story of exploration, settlement, and the nation-building era that defined America.",National Park,38.6258069,-90.189251,MO,National,TRUE,0
,Gateway National Recreation Area,"This coastal region near New York City comprises three units of Gateway National Recreation Area along the Atlantic coast: Jamaica Bay, Sandy Hook, and the Staten Island unit. Besides beaches, marshes, and dunes, there are scenic drives, hiking and biking trails, and historic coastal forts such as Fort Tilden and Fort Hancock. Wildlife includes harbor seals, white-tailed deer, and a wide variety of shorebirds and waterfowl.",National Recreation Area,40.5653625,-73.917109,"NY,NJ",National,TRUE,0
,Gauley National River National Recreation Area,"This wild river canyon in central West Virginia protects a free-flowing stretch of the Gauley River and its dramatic sandstone gorge. The area is famous for world-class whitewater rafting and kayaking during the fall Gauley Season, and also offers backcountry hiking, riverbank fishing, and primitive camping along scenic overlooks. Wildlife includes white-tailed deer, black bears, river otters, bald eagles, and a chorus of songbirds across riverine and forest habitats.",National Recreation Area,38.2061495,-81.004208,WV,National,TRUE,0
,General Grant National Memorial,"General Grant National Memorial sits along the Hudson River in New York City's Riverside Park. The urban sanctuary features a grand white marble mausoleum—the largest in North America—housing the tombs of General Ulysses S. Grant and his wife Julia Dent Grant, with sculptural reliefs and inscriptions; the surrounding parkland offers quiet, tree-lined paths and river views just steps from the bustle of Midtown Manhattan.",National Memorial,40.8133282,-73.963315,NY,National,TRUE,0
,George Rogers Clark National Historical Park,"George Rogers Clark National Historical Park sits along the Wabash River in Vincennes, Indiana. It preserves the Fort Sackville site where George Rogers Clark’s 1779 victory helped shape the American Revolution. The centerpiece is the George Rogers Clark Memorial, a monumental structure that overlooks the river and houses a visitor center with interpretive exhibits about Clark’s frontier campaigns. The grounds offer hilltop views, riverbank scenery, and short trails that connect the historic site with the surrounding countryside. Wildlife includes white-tailed deer, gray squirrels, waterfowl, and a variety of songbirds.",National Historical Park,38.6791266,-87.535452,IN,National,TRUE,0
,George Washington Birthplace National Monument,"This heritage site sits along the Potomac River in coastal Virginia. George Washington Birthplace National Monument preserves the birthplace of the first U.S. president on Wakefield Farm, including a 20th-century Memorial House, the Washington family cemetery, and surrounding tidal marsh, woodlands, and farmland. The area offers river views, walking trails, and wildlife such as white-tailed deer, waterfowl, oState Parkreys, and marsh birds. - George Washington Birthplace National Monument",National Monument,38.193626,-76.920795,VA,National,TRUE,0
,George Washington Carver National Monument,"This region near Diamond, Missouri, preserves the birthplace and early life of George Washington Carver in a mosaic of oak-hickory woodlands, tallgrass prairie remnants, and a creek that threads through the landscape. The monument features Carver's Birth Cabin Site, a visitor center, and a short nature trail with exhibits about his life and work. Wildlife includes white-tailed deer, wild turkeys, gray foxes, and a variety of birds.",National Monument,36.9871322,-94.355227,MO,National,TRUE,0
,George Washington Memorial Parkway,"This scenic corridor along the Potomac River links monuments, historic landscapes, and riverfront habitats in the Washington, D.C. region. It features scenic overlooks, miles of bike and pedestrian trails, and access to Great Falls Park and Theodore Roosevelt Island along the parkway. Wildlife includes bald eagles, oState Parkreys, beavers, and river otters.",National Parkway,38.9628,-77.1495,"DC,MD,VA",National,TRUE,0
,GettyState Beachurg National Military Park,"GettyState Beachurg National Military Park preserves the Civil War battlefield and surrounding farmland, ridges, and woodlands around GettyState Beachurg, Pennsylvania. In addition to the historic fields, there are self-guided driving tours, walking trails, and ranger-led programs at the visitor center and in the landscape itself. Wildlife includes white-tailed deer, wild turkeys, red-tailed hawks, and gray squirrels.",National Military Park,39.8155737,-77.232468,PA,National,TRUE,0
,Gila Cliff Dwellings National Monument,"This rugged canyon country in southwestern New Mexico preserves the Mogollon cliff dwellings carved into a sheer cliff above the Gila River. Nestled within the Gila National Forest and the Gila Wilderness, the site features well‑preserved multi‑story rooms, plazas, and ancient petroglyphs set among pine-studded canyons and dramatic limestone cliffs. Scenic trails offer backcountry hiking opportunities and panoramic views of a remote desert–mountain landscape. Wildlife includes black bears, mountain lions, mule deer, white-tailed deer, javelinas, and a diverse array of birds.",National Monument,33.2271526,-108.27067,NM,National,TRUE,0
,Glacier Bay National Park & Preserve,"Glacier Bay National Park & Preserve sits along Alaska's southeastern coast, where massive tidewater glaciers descend from glacier-clad mountains into winding fjords. It preserves active glaciers, dramatic coastlines, and a mosaic of temperate rainforest, open water, and rugged backcountry. Wildlife includes humpback whales, orcas, brown bears, black bears, harbor seals, sea otters, mountain goats, and bald eagles.",National Preserve,58.8008672,-136.84076,AK,National,TRUE,0
,Glacier National Park,"This region in the northern Rocky Mountains of Montana is a national park famed for its dramatic, glacier-carved peaks, sweeping valleys, and pristine alpine lakes. The Going-to-the-Sun Road is the centerpiece, threading through high passes and forested scenery, while numerous scenic drives and backcountry hiking opportunities reveal the park’s wild beauty. Wildlife includes grizzly bears, black bears, moose, elk, mountain goats, and bighorn sheep.",National Park,48.6841468,-113.80093,MT,National,FALSE,35
,Glen Canyon National Recreation Area,"Stretching along Lake Powell and the Colorado River across northern Arizona and southern Utah, Glen Canyon National Recreation Area showcases towering red-rock canyons carved by water and wind. The area includes Rainbow Bridge National Monument, miles of shoreline, and a vast blue reservoir, with opportunities for houseboating, boating, fishing, kayaking, hiking, and backcountry camping. Wildlife includes desert bighorn sheep, mule deer, coyotes, and a variety of birds.",National Recreation Area,36.9357465,-111.48559,"AZ,UT",National,FALSE,30
,Glen Echo Park,"This historic riverside park along the Potomac in Glen Echo, Maryland, preserves a turn-of-the-century amusement park now thriving as an arts and culture district. The centerpiece is the preserved Glen Echo Park complex with its vintage carousel and restored park buildings, complemented by galleries, artist studios, and performance State Parkaces that host concerts, classes, and community programs. Wildlife includes white-tailed deer, red foxes, and a variety of birds along the river and surrounding woodlands.",National Park,38.9691232,-77.140122,MD,National,TRUE,0
,Gloria Dei Church National Historic Site,"Gloria Dei Church National Historic Site preserves the 1698 Gloria Dei Church, the oldest church building standing in Philadelphia and a cornerstone of Swedish colonial heritage along the Delaware River. The site showcases 17th-century brick architecture and historic interior furnishings, plus a surrounding graveyard that tells the stories of early settlers and their descendants. Visitors experience a window into colonial life and Swedish immigrant history through preserved architecture and interpretation.",National Historic Site,39.9343501,-75.143989,PA,National,TRUE,0
,Golden Gate National Recreation Area,"State Parkanning the northern California coast and San Francisco Bay, Golden Gate National Recreation Area links dramatic sea cliffs, ancient redwoods, beaches, and historic military sites across units from the Marin Headlands to Muir Woods and Alcatraz Island. It offers scenic coastal drives and rewarding backcountry hiking with bay-to-ocean views, city access, and rugged shoreline trails. Wildlife includes harbor seals along the beaches, gray whales offshore, peregrine falcons, and deer in the headlands. - Golden Gate National Recreation Area",National Recreation Area,37.8598254,-122.60074,CA,National,TRUE,0
,Golden State Parkike National Historical Park,"This park preserves the Promontory Summit site where the rails of the First Transcontinental Railroad were joined in 1869 during the Golden State Parkike ceremony. The landscape is northern Utah’s high desert with sagebrush flats, basalt ridges, and expansive views toward the Great Salt Lake, featuring the preserved track and two restored locomotives, Union Pacific No. 119 and Central Pacific No. 60 “Jupiter.” Wildlife includes pronghorn, mule deer, coyotes, and birds of prey such as golden eagles.",National Historical Park,41.6194751,-112.52427,UT,National,FALSE,20
,Governors Island National Monument,"Set in New York Harbor, Governors Island National Monument protects two 19th‑century forts—Fort Jay and Castle Williams—surrounded by open lawns, historic stonework, and sweeping harbor and city views. Accessible by ferry, the island offers guided fort tours, bike and walking paths, seasonal programs, and chances to glimpse urban wildlife against the backdrop of Lower Manhattan and the Statue of Liberty. - Governors Island National Monument",National Monument,40.6916423,-74.016708,NY,National,TRUE,0
,Grand Canyon National Park,"This immense canyon-carved landscape in northern Arizona reveals billions of years of Earth’s history as the Colorado River carves a deep gorge through layered rock. Rim-to-river views, scenic drives along the South and North Rims, and backcountry trails showcase a mosaic of desert scrub, pine forests, and high-elevation conifer stands. Wildlife includes California condors, bighorn sheep, mule deer, elk, and rock squirrels. - Grand Canyon National Park",National Park,36.0001165,-112.12152,AZ,National,FALSE,35
,Grand Canyon-Parashant National Monument,"This remote, rugged landscape in northwestern Arizona State Parkans deep canyons, volcanic mesas, and expansive desert washes along the Grand Canyon’s western edge. It preserves ancient cultural sites, remote wilderness, and backcountry routes for hikers, campers, and off-road travelers. Wildlife includes desert bighorn sheep, mule deer, coyotes, and a variety of lizards and birds.",National Monument,36.4153547,-113.66828,AZ,National,TRUE,0
,Grand Portage National Monument,"On Minnesota’s north shore of Lake Superior, Grand Portage National Monument preserves the Grand Portage—the eight‑mile trail used for centuries by Ojibwe travelers and later fur traders to move goods between the lake and inland waterways. The site includes a reconstructed 18th‑century trading post and interpretive trails that tell the story of the fur trade and Ojibwe culture. Boreal forests, riverine channels, and the lakeshore support wildlife such as moose, black bears, beavers, and bald eagles.",National Monument,47.9929422,-89.75573,MN,National,TRUE,0
,Grand Teton National Park,"Northwestern Wyoming, in the Jackson Hole region, Grand Teton National Park preserves the dramatic Teton Range and a string of pristine alpine lakes. The centerpiece is Grand Teton itself, set among glacier-carved valleys, shimmering lakes, and evergreen forests that offer scenic drives and backcountry hiking opportunities. Wildlife includes grizzly and black bears, moose, elk, mule deer, and bighorn sheep.",National Park,43.8185357,-110.70547,WY,National,FALSE,35
,Grant-Kohrs Ranch National Historic Site,"Grant-Kohrs Ranch National Historic Site preserves a working 19th-century cattle operation that helped shape the open-range era in Montana. The landscape centers on the ranch headquarters with historic barns, corrals, and other outbuildings set in expansive grasslands along a river valley, offering a window into pioneer ranch life and operations. Wildlife includes pronghorn, mule deer, elk, coyotes, and golden eagles. - Grant-Kohrs Ranch National Historic Site",National Historic Site,46.4135892,-112.7467,MT,National,TRUE,0
,Great Basin National Park,"High desert and alpine terrain in eastern Nevada comprise Great Basin National Park, with Wheeler Peak rising over 13,000 feet and ancient bristlecone pines among the oldest living trees on Earth. Lehman Caves reveal dramatic limestone chambers, while alpine lakes, meadows, and rugged trails unfold across the Snake Range; night skies here are among the darkest in the continental United States.",National Park,38.9461738,-114.25798,NV,National,TRUE,0
,Great Egg Harbor National River,"Great Egg Harbor National Scenic and Recreational River preserves tidal marshes, estuaries, and forested riverbanks along New Jersey’s southern shore. The corridor supports boating, fishing, bird-watching, and backcountry hikes through protected wetlands and coastal uplands. Wildlife includes oState Parkreys, bald eagles, great blue herons, waterfowl, river otters, and a diverse array of fish and shorebirds.",National River,39.3042,-74.6497,NJ,National,TRUE,0
,Great Falls Park,"Rugged river gorge along the Potomac River just outside Washington, D.C., Great Falls Park features dramatic falls, sheer rock faces, and forested hills. Overlooks along the river and backcountry trails—including the Billy Goat Trail—offer scenic views and challenging hikes through rocky terrain. Wildlife includes beavers, white-tailed deer, red-tailed hawks, and a variety of waterfowl.",National Park,38.9877611,-77.251283,VA,National,FALSE,20
,Great Sand Dunes National Park & Preserve,"This high-desert landscape in southern Colorado features the tallest dunes in North America, framed by the Sangre de Cristo Mountains and fed by meltwater from Medano Creek. The dunes, surrounding forests, and alpine wetlands offer opportunities for hiking, sandboarding, and backcountry camping across park and preserve lands. Wildlife includes mule deer, elk, pronghorn, bighorn sheep, black bears, coyotes, and a variety of birds.",National Preserve,37.7925681,-105.59196,CO,National,FALSE,25
,Great Smoky Mountains National Park,"Two-state jewel of the southern Appalachians, Great Smoky Mountains National Park preserves some of the oldest, most biodiverse forests in North America, where mist-shrouded ridges cradle cascading waterfalls and ancient old-growth groves. Scenic drives and hundreds of miles of backcountry trails traverse hardwood forests to high-elevation State Parkruce-fir ecosystems, revealing streams, wildflowers, and a living Appalachian tapestry. Wildlife includes black bears, white-tailed deer, elk, and wild turkeys.",National Park,35.6011637,-83.508183,"NC,TN",National,TRUE,0
,Green State Parkrings,"Green State Parkrings National Park presents a mosaic of emerald State Parkrings carved through rolling forests and grassy uplands. Visitors can explore via scenic drives and backcountry trails, and paddle or kayak on State Parkring-fed pools and quiet basins. Wildlife includes white-tailed deer, beaver, red-tailed hawks, river otters, and a chorus of waterfowl.",National Historic Site,38.037099,-78.189823,VA,National,TRUE,0
,Greenbelt Park,"This urban escape on the outskirts of Washington, D.C. protects a patchwork of hardwood forest, wetlands, and open meadows, where city sounds soften into quiet woods. A network of easy trails, open State Parkaces, and picnic areas invites hiking, biking, and wildlife watching as a peaceful refuge in the metropolitan region. Wildlife includes white-tailed deer, red-tailed hawks, gray squirrels, and a chorus of songbirds that fills the woods.",National Park,38.9832827,-76.897221,MD,National,TRUE,0
,Guadalupe Mountains National Park,"Guadalupe Mountains National Park sits in far west Texas, protecting a rugged region of limestone peaks and deep canyons, including Texas’s highest point, Guadalupe Peak. The park features dramatic canyons like McKittrick Canyon, high-desert plateaus, and pine–oak woodlands that rise above desert scrub. Wildlife includes desert bighorn sheep, mule deer, and mountain lions.",National Park,31.9230446,-104.88553,TX,National,FALSE,10
,Guilford Courthouse National Military Park,"This historic battlefield near GreenState Beachoro preserves the ground where the 1781 Battle of Guilford Courthouse changed the course of the American Revolution. The park centers on the battlefield landscape, with monuments, an interpretive visitor center, and wayside exhibits that tell the story of the campaign and the soldiers who fought there. Trails wind through wooded hills and open fields, offering a contemplative glimpse into this pivotal moment in American history.",National Military Park,36.1322548,-79.842456,NC,National,TRUE,0
,Gulf Islands National Seashore,"This seashore State Parkans barrier islands along Florida’s Panhandle and Mississippi’s coast. It protects miles of pristine white-sand beaches, dune systems, salt marshes, and maritime forests, with scenic drives, backcountry hiking, and water routes along the shore. Wildlife includes loggerhead and Kemp’s ridley sea turtles, bottlenose dolphins, shorebirds, and American alligators. Historic coastal fortifications anchor the landscape, recalling a rich maritime heritage.",National Seashore,30.3211,-87.2304,"FL,MS",National,FALSE,25
,Hagerman Fossil Beds National Monument,"This arid valley in southern Idaho preserves one of North America’s richest fossil beds from the late Pliocene. Exposed badlands and river terraces reveal the Hagerman Horse Quarry, where the Hagerman horse (Equus simplicidens) and other ancient mammals have been found. Visitors can explore short interpretive trails near the fossil beds and view exhibits at the visitor center, while wildlife such as pronghorn, mule deer, coyotes, and a variety of birds inhabit the surrounding area. - Hagerman Fossil Beds National Monument",National Monument,42.7907411,-114.94431,ID,National,TRUE,0
,HaleakalƒÅ National Park,"Rising from Maui’s clouds, Haleakalā National Park protects a colossal volcanic landscape and two distinct ecosystems: an alpine desert at the summit and tropical rainforest along the Kipahulu coast. The park features the Haleakalā Crater and rare Haleakalā silversword, with native birds such as the Nēnē (Hawaiian goose) amid habitats ranging from volcanic cinder fields to rainforest, waterfalls, and coastal pools. - Haleakalā National Park",National Park,20.7069302,-156.15918,HI,National,FALSE,25
,Hamilton Grange National Memorial,"This urban memorial preserves Alexander Hamilton’s Grange House, a Federal-style home relocated to a hillside site in New York City. The site features the reconstructed house, a surrounding garden, and exhibits that illuminate Hamilton’s life and the founding era of the United States.",National Memorial,40.8187161,-73.948785,NY,National,TRUE,0
,Hampton National Historic Site,"This historic estate in Maryland preserves the 18th-century Hampton Mansion and the surrounding landscape. Besides the mansion itself, the site includes period outbuildings, slave quarters, and formal gardens, with walking trails and guided programs that bring 18th- and 19th-century life to visitors. Wildlife includes white-tailed deer, gray squirrels, and a variety of birds.",National Historic Site,39.4175296,-76.587812,MD,National,TRUE,0
,Harmony Hall,"Harmony Hall National Park centers on a centuries-old manor set within rolling woodlands, meadows, and a tranquil lake. In addition to tours of the hall, the park offers scenic trails, canoeing, and seasonal arts programs that celebrate its cultural heritage. Wildlife includes white-tailed deer, beavers, red foxes, great blue herons, and a chorus of songbirds.",National Historic Site,38.7464635,-77.003771,MD,National,TRUE,0
,Harpers Ferry National Historical Park,"At the confluence of the Potomac and Shenandoah rivers, Harpers Ferry National Historical Park preserves a historic crossroads where 19th‑century town life, Civil War battles, and abolitionist stories converge in the Blue Ridge foothills. The park features well‑preserved buildings, interpretive sites, and miles of trails that wind along the rivers and ridges, including segments of the Appalachian Trail, blending history with scenic backcountry exploration. Wildlife includes white‑tailed deer, beavers, river otters, and a variety of birds such as bald eagles and red‑tailed hawks.",National Historical Park,39.3186595,-77.740885,"WV,VA,MD",National,FALSE,20
,Harriet Tubman National Historical Park,"This park preserves the life and legacy of Harriet Tubman, focusing on the Auburn, New York home she lived in and the surrounding sites tied to her work with the Underground Railroad. Visitors can explore the Harriet Tubman Home, related historic properties, and interpretive programs that tell the story of courage, escape, and freedom.",National Historical Park,42.912892,-76.564672,NY,National,TRUE,0
,Harriet Tubman Underground Railroad National Historical Park,"This region along Maryland's Eastern Shore honors Harriet Tubman and the Underground Railroad. The park preserves historic sites, landscapes, and communities connected to Tubman's life and the routes that helped enslaved people reach freedom, including riverways, farms, and small towns that supported abolitionists. Visitors can explore trails, interpretive programs, and preserved places that illuminate courage, resilience, and the quest for liberty.",National Historical Park,38.4548644,-76.137345,MD,National,TRUE,0
,Harry S Truman National Historic Site,"Located in western Missouri, the Harry S. Truman National Historic Site preserves multiple locations associated with the life and presidency of the 33rd President of the United States. The site includes Truman’s long-time home in Independence, his family farm in Grandview, and his birthplace in Lamar, collectively illustrating his journey from rural Midwestern roots to global leadership during World War II and the early Cold War. Residential neighborhoods, farmland, and historic buildings provide context for Truman’s personal life and political career. The surrounding landscapes reflect small-town and agricultural environments typical of the American Midwest, offering insight into the settings that shaped Truman’s values and leadership style.",National Historic Site,38.9271197,-94.516249,MO,National,TRUE,0
,Hawai ªi Volcanoes National Park,"On the island of Hawaii, two of the world’s most active volcanoes—Kilauea and Mauna Loa—shape a dramatic landscape of lava flows, craters, steam vents, and lush rainforests. The park supports a wide range of habitats—from tropical rainforest on the lower slopes to barren lava fields at higher elevations—and is home to native birds such as the iiwi and apapane, the nene (Hawaiian goose), and the Hawaiian hoary bat.",National Park,19.3355036,-155.47003,HI,National,FALSE,30
,Herbert Hoover National Historic Site,"This site that shaped and inState Parkired Herbert Hoover lies in West Branch, Iowa, preserving his birthplace and boyhood home. The grounds also include the Herbert Hoover Presidential Library and Museum and the gravesite of Herbert and Lou Henry Hoover, set within a pastoral prairie and river valley landscape. Visitors can tour period rooms, view exhibits on Hoover's early life and public service, and stroll quiet trails through restored prairies and woodlands.",National Historic Site,41.6679356,-91.352321,IA,National,TRUE,0
,Historic Jamestowne,"This unit preserves the site of the first permanent English settlement in North America along the James River in Virginia. Historic Jamestowne features the 1607 fort ruins and surrounding 17th‑century landscape, with ongoing archaeology and interpretive exhibits that illuminate daily life, conflicts, and relations with Indigenous peoples. The James River estuary and adjacent woodlands host a variety of wildlife, including waterfowl and wading birds, and offer trails with river views that connect past and present.",National Historic Site,37.2065,-76.7538,VA,National,FALSE,15
,Home Of Franklin D Roosevelt National Historic Site,"The Home of Franklin D. Roosevelt National Historic Site preserves Franklin D. Roosevelt's lifelong home along the Hudson River in Hyde Park, New York. The grounds include State Parkringwood, the Roosevelt family estate, and the nearby Val-Kill cottage, with formal gardens and woodland trails that shaped his life and leadership. The adjacent FDR Library and Museum houses archives and exhibits detailing his presidency and the era of the Great Depression and World War II.",National Historic Site,41.7663976,-73.925169,NY,National,FALSE,15
,Homestead National Historical Park,"On the Great Plains of eastern Nebraska near Beatrice, Homestead National Historical Park preserves the story of the 1862 Homestead Act and the thousands who claimed land to build the farmed heartland. The park centers on a restored 19th-century homestead cabin, a modern visitor center, and open prairie trails that illuminate the daily life of settlers and the birth of American farming.",National Historical Park,40.2880238,-96.833878,NE,National,TRUE,0
,Honouliuli National Historic Site,"This National Historic Site on Oahu’s leeward coast preserves the Honouliuli Internment Camp, a World War II–era facility that shaped civil liberties in the United States. The site includes the Gulch where camp structures once stood, remnants of dormitories and guard towers, and a visitor center with interpretive exhibits. Exhibits and guided walks recount the experiences of internees—primarily Japanese Americans—along with the wartime policies that detained them and the ongoing effort to remember and learn from this history.",National Historic Site,21.3881754,-158.0575,HI,National,TRUE,0
,Hopewell Culture National Historical Park,"This park preserves a cluster of monumental earthworks created by the Hopewell culture in central Ohio. State Parkanning several units in Chillicothe and Newark, highlights include the Mound City Group and the Newark Earthworks complex (featuring the Octagon and Great Circle) along with Seip Earthworks. The landscape includes river valleys, woodlands, and farmland where earthworks rise from the terrain. Wildlife includes white-tailed deer, red fox, beavers, and a variety of birds; habitats include floodplain forests, wetlands, and deciduous woodlands.",National Historical Park,39.3159437,-83.080495,OH,National,TRUE,0
,Hopewell Furnace National Historic Site,"This rural landscape preserves an 18th- and 19th-century ironmaking community in southeastern Pennsylvania. Centered on the historic blast furnace and its forges, the site also preserves worker housing, a manager's house, a blacksmith shop, and related buildings set among rolling woodlands and streams that powered the operation. Trails and ranger-led programs interpret daily life in an early American ironworks town and the rise of industrial technology.",National Historic Site,40.2061064,-75.767664,PA,National,TRUE,0
,Horseshoe Bend National Military Park,"This battlefield along the Tallapoosa River preserves the site of the 1814 clash that ended the Creek War and helped shape a young nation’s frontier. The landscape features rolling river bluffs, longleaf pine and hardwood forests, and wetland areas that frame the battlefield and inState Parkire quiet reflection. Wildlife includes white-tailed deer, eastern wild turkeys, gray foxes, river otters, and a variety of waterfowl.",National Military Park,32.9766888,-85.734136,AL,National,TRUE,0
,Hot State Parkrings National Park,"This urban-forest region in the Ouachita Mountains preserves natural hot State Parkrings and the historic State Parka culture that gave Hot State Parkrings its fame. Within the park’s Bathhouse Row and surrounding hills, visitors can explore preserved bathhouses, bubbling State Parkrings, and access scenic drives and backcountry trails; wildlife includes white-tailed deer, small mammals, and a variety of birds.",National Park,34.5241437,-93.063329,AR,National,TRUE,0
,Hovenweep National Monument,"This rugged canyon country along the Utah-Colorado border comprises several ruin clusters and towers built by the Ancestral Puebloans. There are scenic drives and backcountry hiking opportunities. Wildlife includes mule deer, pronghorn, coyotes, and a variety of birds.",National Monument,37.3913409,-109.0048,"CO,UT",National,FALSE,20
,Hubbell Trading Post National Historic Site,"Dating to 1876, Hubbell Trading Post National Historic Site preserves one of the oldest, continuously operating trading posts on the Navajo Nation. The adobe complex includes the historic post, living quarters, and a museum of artifacts that illustrate centuries of Navajo trade, while the surrounding high-desert landscape of piñon-juniper woodlands along the Little Colorado River valley supports mule deer, pronghorn, coyotes, and a variety of birds.",National Historic Site,35.7072732,-109.55995,AZ,National,TRUE,0
,Ice Age Floods National Geologic Trail,"Extending across portions of Montana, Idaho, Washington, and Oregon, the Ice Age Floods National Geologic Trail traces the path of a series of cataclysmic floods that reshaped the Pacific Northwest at the end of the last Ice Age. These floods, released repeatedly from Glacial Lake Missoula, carved dramatic canyons, dry waterfalls, giant ripples, and vast basalt scablands. The trail links dozens of sites that reveal this geologic story, including river gorges, coulees, and lake basins. Landscapes range from arid plateaus and fertile valleys to forested river corridors, supporting wildlife such as raptors, waterfowl, mule deer, and salmon, while offering opportunities for scenic driving, hiking, and geologic exploration.",National Trail,46.5669309,-118.99256,"WA,OR,ID,MT",National,TRUE,0
,Ice Age National Trail,"This corridor traces Wisconsin’s ice-age heritage, State Parkanning more than a thousand miles through hardwood forests, prairies, wetlands, and State Parkarkling lakes along a continuous route. It follows rugged glacial landforms—moraines, drumlins, kettle lakes, eskers, and outwash plains—where visitors can glimpse the forces that shaped the landscape. Wildlife includes white-tailed deer, black bears, beavers, foxes, and a diverse array of birds across forested, wetland, and prairie habitats.",National Trail,43.9895698,-89.561202,WI,National,TRUE,0
,Independence National Historical Park,"An urban landscape in downtown Philadelphia that preserves the places where the American Revolution began and the Constitution took shape. The park centers on Independence Hall, the Liberty Bell Center, and surrounding 18th‑century buildings, connected by historic streets and intimate courtyards. Ranger-guided tours, living-history programs, and museums illuminate the founding era and the enduring ideals of liberty.",National Historical Park,39.9474611,-75.147942,PA,National,TRUE,0
,Indiana Dunes National Park,"Along the southern shore of Lake Michigan, Indiana Dunes National Park protects a dynamic coastal landscape of rolling sand dunes, freshwater wetlands, prairies, and oak savannas. Its diverse habitats support a wide array of migratory birds, mammals, and plants, making the park a centerpiece of the Lake Michigan dune ecosystem.",National Park,41.6376553,-87.096474,IN,National,FALSE,20
,Isle Royale National Park,"Isle Royale National Park is a remote island archipelago in Lake Superior, Michigan. It preserves a rugged boreal forest, rocky shoreline, and inland lakes, and is accessible only by boat or seaplane. Wildlife includes moose and gray wolves, and visitors enjoy backcountry hiking, camping, boating, and kayaking, with shipwreck diving along the lakeshore.",National Park,48.0114582,-88.827807,MI,National,FALSE,7
,Inupiat Heritage Center,"The Iñupiat Heritage Center sits in Utqiaġvik (Barrow), at the northern edge of Alaska’s Arctic coast. It preserves Iñupiat language, history, and living traditions—carving, sewing, subsistence hunting, and storytelling—through exhibits, demonstrations, and programs. Wildlife includes polar bears, Arctic foxes, caribou, beluga whales, and seals.",National Historic Site,71.2983245,-156.75359,AK,National,TRUE,0
,James A Garfield National Historic Site,"The James A. Garfield National Historic Site sits in Mentor, Ohio, preserving Garfield's Lawnfield estate and the 19th-century landscape that framed his life and career. Beyond the house, the site includes restored gardens, outbuildings, and a visitor center with exhibits and guided tours. Visitors gain insight into Garfield's Civil War service, his rapid rise in politics, and the era that shaped his presidency.",National Historic Site,41.6648655,-81.350866,OH,National,TRUE,0
,Jean Lafitte National Historical Park and Preserve,"Jean Lafitte National Historical Park and Preserve comprises several units in the Greater New Orleans area, including the Barataria Preserve, Chalmette Battlefield, and the French Quarter Unit. It protects coastal marshes, bayous, swamp forests, and urban historic landscapes that reflect Creole culture, piracy lore, and the Mississippi River’s military history. Wildlife includes American alligators, brown pelicans, oState Parkreys, herons, and river otters.",National Preserve,29.8173986,-90.140224,LA,National,TRUE,0
